generation,evaluations,mean_parent_fitness
1,100,19.597894982906126
2,200,16.865092645632156
3,300,15.869595988823937
4,400,15.45736299234722
5,500,15.236538346900875
6,600,15.036435700749857
7,700,14.93504774919125
8,800,14.799230449833292
9,900,14.422765322485663
10,1000,14.284129742113247
11,1100,14.272297189585572
12,1200,14.156020942153763
13,1300,14.075585914938467
14,1400,13.956625846426135
15,1500,13.960097092940675
16,1600,13.786942707483018
17,1700,13.796200184964736
18,1800,13.616576858272893
19,1900,13.524577061106942
20,2000,13.450067598131744
21,2100,13.475272679721328
22,2200,13.39224900969602
23,2300,13.359400085862296
24,2400,13.441586600117
25,2500,13.521533895370666
26,2600,13.485970286056297
27,2700,13.266794237104781
28,2800,13.117723497501808
29,2900,13.227193449108904
30,3000,13.169192511088847
31,3100,13.426268612845675
32,3200,13.40399441996622
33,3300,13.274112232122738
34,3400,13.259017736453131
35,3500,13.146046542336586
36,3600,13.208208778390182
37,3700,13.127677648963735
38,3800,13.106381699346908
39,3900,13.160035954475486
40,4000,13.289521882219578
41,4100,13.242723844443631
42,4200,13.270801316521494
43,4300,13.179910993446907
44,4400,13.227276974883347
45,4500,13.173410326641758
46,4600,13.086479189497135
47,4700,13.100328757453926
48,4800,13.125009324131375
49,4900,13.180385661365879
50,5000,13.203313548185557
51,5100,13.296919461305677
52,5200,13.288814515398212
53,5300,13.252216453197187
54,5400,13.271605630694893
55,5500,13.299417115059907
56,5600,13.394953078285127
57,5700,13.23200084558997
58,5800,13.221292872933308
59,5900,13.085775068880347
60,6000,13.270190552946815
61,6100,13.277085359839962
62,6200,13.249295614734075
63,6300,13.12451239131553
64,6400,13.180291566811974
65,6500,13.26350257059558
66,6600,13.258569363888284
67,6700,13.373222641776007
68,6800,13.328705314542669
69,6900,13.249921550515333
70,7000,13.28942993402429
71,7100,13.361747844158415
72,7200,13.204526997217055
73,7300,13.225265663270184
74,7400,13.083873388034547
75,7500,13.115009471452572
76,7600,13.198466012039034
77,7700,13.34227048568738
78,7800,13.147681238691593
79,7900,13.246895440080834
80,8000,13.231515166298962
81,8100,13.189274477042279
82,8200,13.17483673953132
83,8300,13.089841495837721
84,8400,13.291822919227732
85,8500,13.341722173787582
86,8600,13.398296893281671
87,8700,13.366927756754995
88,8800,13.121949205815596
89,8900,13.125302721563259
90,9000,13.106519812989987
91,9100,13.118173008307185
92,9200,13.017706187482949
93,9300,13.050231730044771
94,9400,13.117581105123154
95,9500,13.190029613191124
96,9600,13.11470597363014
97,9700,13.018285694006199
98,9800,12.982000783893241
99,9900,13.045048477953284
100,10000,13.007939395923524
