generation,evaluations,mean_parent_fitness
1,100,19.48171434292619
2,200,16.975954400521225
3,300,15.840210332532886
4,400,15.253414667876115
5,500,14.940123205863262
6,600,14.761797203957912
7,700,14.608073478123703
8,800,14.36997575754756
9,900,14.387067815951326
10,1000,14.31089918247319
11,1100,14.257549200023211
12,1200,14.259298688447544
13,1300,14.118546084543633
14,1400,13.976030709326213
15,1500,13.918801263721907
16,1600,13.905449846112273
17,1700,13.920903059877764
18,1800,13.786114206440766
19,1900,13.783340099022968
20,2000,13.821913635493132
21,2100,13.838567801761467
22,2200,13.892254411773788
23,2300,13.901423443543923
24,2400,13.94693472341819
25,2500,13.728529336258237
26,2600,13.80014155864825
27,2700,13.790561972994052
28,2800,13.679543774946021
29,2900,13.534549503018615
30,3000,13.497773592452987
31,3100,13.363258352600013
32,3200,13.321624002789562
33,3300,13.338580131804756
34,3400,13.40117327125311
35,3500,13.554106873571111
36,3600,13.419801771054924
37,3700,13.392910085453744
38,3800,13.335592262827566
39,3900,13.331710074948003
40,4000,13.281847161049381
41,4100,13.115841079324017
42,4200,13.321289717926206
43,4300,13.453609440866254
44,4400,13.493375625015366
45,4500,13.443009933564102
46,4600,13.492937476246698
47,4700,13.276706462946217
48,4800,13.342215800440481
49,4900,13.234753940147385
50,5000,13.38728360784955
51,5100,13.510003542538183
52,5200,13.465203195483095
53,5300,13.393792118881843
54,5400,13.323774883216785
55,5500,13.244718872780513
56,5600,13.321220664522869
57,5700,13.403132563432967
58,5800,13.340178380879019
59,5900,13.193569792307168
60,6000,13.221899973672198
61,6100,13.195854695770715
62,6200,13.138529812615298
63,6300,13.075055059448507
64,6400,13.159118310651872
65,6500,13.105515500651915
66,6600,13.114611635910506
67,6700,13.174343506280332
68,6800,13.376202258639703
69,6900,13.386447396069315
70,7000,13.432363530869868
71,7100,13.436707799873238
72,7200,13.35073588239992
73,7300,13.292241889926625
74,7400,13.385072401787891
75,7500,13.386434519948775
76,7600,13.240791339939273
77,7700,13.317830893187558
78,7800,13.345698171684555
79,7900,13.41761325425217
80,8000,13.23618086620858
81,8100,13.200005681873312
82,8200,13.155667100908667
83,8300,13.37464849498176
84,8400,13.212635359130312
85,8500,13.16786679291857
86,8600,13.12141224158897
87,8700,13.170869574058127
88,8800,13.24067670080889
89,8900,13.244005980636407
90,9000,13.079715977738582
91,9100,13.091575347931652
92,9200,13.081000898711153
93,9300,13.08465237905099
94,9400,13.023956313180449
95,9500,13.08370172755103
96,9600,13.229539680059322
97,9700,13.287742941214594
98,9800,13.18118148454909
99,9900,13.126100117031964
100,10000,13.278869978793185
