generation,evaluations,mean_parent_fitness
1,100,19.460721565793012
2,200,17.232695602889926
3,300,16.181970536534557
4,400,15.758251097720626
5,500,15.469474386195296
6,600,15.036239985362746
7,700,14.844340506242691
8,800,14.436576091999388
9,900,14.227771606292754
10,1000,14.174195392079437
11,1100,13.970704184642894
12,1200,13.677508255857134
13,1300,13.438890888967984
14,1400,13.36564210958917
15,1500,13.298626113540056
16,1600,13.247383799759996
17,1700,13.265583669999938
18,1800,13.145796637182519
19,1900,13.197513730496429
20,2000,13.28836377381111
21,2100,13.25182207259525
22,2200,13.183244317431672
23,2300,13.222406709819927
24,2400,13.055343496655372
25,2500,13.027977932565054
26,2600,13.130450642582693
27,2700,13.031316918850433
28,2800,13.105500051140691
29,2900,13.254790133551811
30,3000,13.285041861587933
31,3100,13.130024327551553
32,3200,13.026295634286424
33,3300,13.013798261769761
34,3400,12.905760245035765
35,3500,12.880370450441578
36,3600,12.715730689350497
37,3700,12.848992826520538
38,3800,12.886605821728168
39,3900,12.885190379363456
40,4000,12.936931635157467
41,4100,12.817554543732404
42,4200,12.731059301800894
43,4300,12.80001118499452
44,4400,12.891211643205963
45,4500,13.014990704029449
46,4600,13.09251477861701
47,4700,13.132126323851645
48,4800,13.112540179939884
49,4900,13.078837489561995
50,5000,13.026956865877963
51,5100,13.02243039561812
52,5200,12.976153246224793
53,5300,12.949459818460193
54,5400,12.952084210794988
55,5500,12.924732996498822
56,5600,12.889400083527795
57,5700,13.018188892138625
58,5800,12.853557220377974
59,5900,13.000384655070519
60,6000,13.0045169502886
61,6100,13.040916298817072
62,6200,12.692156784160534
63,6300,12.743509256365934
64,6400,12.965173609155537
65,6500,12.879160774479598
66,6600,13.016795873069253
67,6700,12.934223074720624
68,6800,12.990720782301057
69,6900,12.87315249209143
70,7000,13.125500986711454
71,7100,12.890036053354327
72,7200,13.080516351275085
73,7300,12.987105668043345
74,7400,12.947753610566034
75,7500,12.930616964532046
76,7600,12.958036947255636
77,7700,12.93452932173353
78,7800,12.93505561138007
79,7900,13.06200687479475
80,8000,13.139945346938408
81,8100,13.133463170374307
82,8200,13.021845768714792
83,8300,12.993571589658577
84,8400,13.084845146513553
85,8500,12.968256847096631
86,8600,12.825889568887067
87,8700,12.733670151689841
88,8800,12.900864207898987
89,8900,12.878614630485236
90,9000,12.999268532741329
91,9100,12.965597396996628
92,9200,12.913709446764447
93,9300,12.928442822682342
94,9400,12.741058984750818
95,9500,12.888882335868669
96,9600,12.97604534808221
97,9700,12.902034709733874
98,9800,12.992156076530549
99,9900,13.080479037364935
100,10000,12.899785684613585
