generation,evaluations,mean_parent_fitness
1,100,19.78324900473289
2,200,17.480098354214363
3,300,16.46386559396899
4,400,16.05486045672068
5,500,15.623770627214347
6,600,15.302824404019926
7,700,15.011743453699077
8,800,14.745703280649389
9,900,14.742344741009115
10,1000,14.477586505508338
11,1100,14.214551342886026
12,1200,14.162123628167262
13,1300,14.103492112105348
14,1400,14.144122653153781
15,1500,14.01556346662613
16,1600,13.967793125395795
17,1700,14.112282543701173
18,1800,14.052830886331668
19,1900,13.772840084765482
20,2000,13.756673847267749
21,2100,13.862023529123084
22,2200,13.860211661236018
23,2300,13.697457575442417
24,2400,13.589893829996878
25,2500,13.711495136999758
26,2600,13.554527377523016
27,2700,13.583309542595646
28,2800,13.521837867495389
29,2900,13.53591694453819
30,3000,13.499909472714359
31,3100,13.651612324851603
32,3200,13.489208528143655
33,3300,13.614730103834773
34,3400,13.804231741779228
35,3500,13.630453635754455
36,3600,13.429999698155262
37,3700,13.511289597512857
38,3800,13.446355969009113
39,3900,13.31752311042693
40,4000,13.428443883665077
41,4100,13.336615357546398
42,4200,13.355040874790571
43,4300,13.388396680024655
44,4400,13.401171662845679
45,4500,13.212381092205998
46,4600,13.263270209394866
47,4700,13.378685655758195
48,4800,13.482054608129086
49,4900,13.235969117617818
50,5000,13.281825257587133
51,5100,13.184851027061635
52,5200,13.102664121122567
53,5300,13.198070421427179
54,5400,13.229782660757612
55,5500,13.10586555542647
56,5600,13.21199044832846
57,5700,13.168316489597586
58,5800,13.152590856937078
59,5900,13.161906401169443
60,6000,13.114242873659828
61,6100,13.187160259670978
62,6200,13.254075865158729
63,6300,13.340006092791787
64,6400,13.336387020858533
65,6500,13.274716844970303
66,6600,13.43273943158612
67,6700,13.306513315759876
68,6800,13.3621464678379
69,6900,13.257658505903029
70,7000,13.265202280782251
71,7100,13.274149556365263
72,7200,13.234026604013545
73,7300,13.29430208731409
74,7400,13.33434949479645
75,7500,13.402709616203998
76,7600,13.343776463661658
77,7700,13.171159926661394
78,7800,13.240269104884035
79,7900,13.252254940974069
80,8000,13.296874093755752
81,8100,13.234004171578158
82,8200,13.16166418159915
83,8300,13.125372497627106
84,8400,13.136537113910133
85,8500,13.215173669559277
86,8600,13.256452171512649
87,8700,13.235450304541065
88,8800,13.331124080600166
89,8900,13.238014715704784
90,9000,13.383598701278055
91,9100,13.167710533550055
92,9200,13.158237679671638
93,9300,13.074621601604344
94,9400,13.001935543180911
95,9500,13.16235735163788
96,9600,13.17637020288733
97,9700,13.356218323352417
98,9800,13.292113568137413
99,9900,13.250834970138346
100,10000,13.301663865153596
