generation,evaluations,mean_parent_fitness
1,100,19.740508419833038
2,200,17.044617302485918
3,300,15.824812191679353
4,400,15.344034348389078
5,500,15.048409178099197
6,600,14.797041968649989
7,700,14.702881194290947
8,800,14.538598048748636
9,900,14.68873188397435
10,1000,14.41717886949713
11,1100,14.365356609215743
12,1200,14.561323868265593
13,1300,14.400348187377386
14,1400,14.545639445868536
15,1500,14.37498100766515
16,1600,14.326704315510677
17,1700,14.33515071525672
18,1800,14.159102150812899
19,1900,14.25350900162314
20,2000,14.124122824491328
21,2100,14.21684938544206
22,2200,14.219444351714392
23,2300,14.352242141975074
24,2400,14.26359530832013
25,2500,14.241283529035929
26,2600,14.288830967316349
27,2700,14.292257064326654
28,2800,14.27122075659814
29,2900,14.247455431527715
30,3000,14.307808707733537
31,3100,14.218604985044806
32,3200,14.160772920924348
33,3300,14.195901936419881
34,3400,14.137380380041837
35,3500,14.122362206426828
36,3600,13.98491136304764
37,3700,14.008279889373304
38,3800,14.08920158402301
39,3900,13.949178955055165
40,4000,13.932569524446254
41,4100,14.007856358238076
42,4200,14.047183286988968
43,4300,13.851994077592375
44,4400,13.878659549934573
45,4500,13.82044585375942
46,4600,13.843573431902039
47,4700,13.916405842338017
48,4800,13.882651619612933
49,4900,13.706191988600931
50,5000,13.679222019477669
51,5100,13.71814504793175
52,5200,13.804387273301206
53,5300,13.804494683982403
54,5400,13.8196791097497
55,5500,13.805588018052564
56,5600,13.872716660117893
57,5700,13.854307769043777
58,5800,13.849055146727457
59,5900,13.982474009742669
60,6000,13.927569080779591
61,6100,14.00851036815402
62,6200,13.995890171594173
63,6300,14.037406418297007
64,6400,14.047968101335872
65,6500,13.940720027782481
66,6600,13.925432685959532
67,6700,14.048772941274517
68,6800,14.075263732210113
69,6900,14.017096817562043
70,7000,13.980886762324786
71,7100,14.001263272937674
72,7200,13.95473986846057
73,7300,13.98271128573364
74,7400,14.230060649638565
75,7500,14.139034397465124
76,7600,14.098799581583231
77,7700,14.032837651897902
78,7800,13.986539594712749
79,7900,13.922537599421199
80,8000,13.752322256736118
81,8100,13.851437197497628
82,8200,13.881554363454564
83,8300,13.996437772647955
84,8400,13.893507987272528
85,8500,13.922630298836467
86,8600,13.958210109593072
87,8700,13.86864221777125
88,8800,13.732126591395623
89,8900,13.762855435746072
90,9000,13.76560063264042
91,9100,13.83439037404049
92,9200,13.924990683208232
93,9300,13.954065056531254
94,9400,14.09439729990604
95,9500,14.037880654783645
96,9600,13.85847629211322
97,9700,13.895430316823473
98,9800,13.848448032041441
99,9900,13.81876602476282
100,10000,13.85795223903368
