generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,15.89317652729776,19.421699999760268,19.17
2,300,15.806750598570128,17.999558018500917,16.23
3,400,15.683300132670379,16.902403609911776,12.46
4,500,15.38208554864871,16.209956031060365,10.51
5,600,15.192415526630866,15.911512269471467,10.1
6,700,14.955133376499415,15.739562852381319,10.04
7,800,14.891164991562635,15.559530918239863,9.55
8,900,14.642787793912431,15.39553701834959,9.16
9,1000,14.520897306865447,15.204517999542709,9.21
10,1100,14.520897306865447,15.018758603271475,9.21
11,1200,13.845906043549196,14.876043779798357,9.23
12,1300,13.841653005427768,14.74979791451439,9.41
13,1400,13.823790007724451,14.64744764246229,9.65
14,1500,13.254723699099141,14.514942608753206,9.72
15,1600,12.981488772222677,14.270527028604608,10.23
16,1700,12.981488772222677,14.10019406855341,10.43
17,1800,12.981488772222677,13.98146817864687,10.5
18,1900,12.981488772222677,13.849366883720197,10.64
19,2000,12.981488772222677,13.756683195422404,10.76
20,2100,12.981488772222677,13.647386716324899,11.17
21,2200,12.872004514666935,13.572111621478161,11.38
22,2300,12.872004514666935,13.467000289419476,11.58
23,2400,12.872004514666935,13.392314257643852,11.59
24,2500,12.872004514666935,13.341112181290395,11.64
25,2600,12.581138830084189,13.290869934229583,11.73
26,2700,12.581138830084189,13.213090506987946,11.86
27,2800,12.526649916142159,13.15422105326034,11.81
28,2900,12.526649916142159,13.073721525957843,11.86
29,3000,12.526649916142159,13.037770546314746,11.9
30,3100,12.526649916142159,12.995948247711688,12.05
31,3200,12.526649916142159,12.962444755518073,12.05
32,3300,12.526649916142159,12.915370649284883,11.97
33,3400,12.526649916142159,12.871087307340709,11.96
34,3500,12.526649916142159,12.83061480210493,11.97
35,3600,12.526649916142159,12.796508245140153,11.91
36,3700,12.408304597359457,12.754827913089422,11.95
37,3800,12.408304597359457,12.735698859063495,12.0
38,3900,12.408304597359457,12.703307457756033,12.04
39,4000,12.408304597359457,12.671106389619661,12.05
40,4100,12.408304597359457,12.639207801390567,12.05
41,4200,12.408304597359457,12.623985351723238,12.03
42,4300,12.408304597359457,12.612551907763587,12.05
43,4400,12.408304597359457,12.594812811966346,12.03
44,4500,12.408304597359457,12.5803985030277,12.03
45,4600,12.408304597359457,12.564262416448589,12.01
46,4700,12.408304597359457,12.549135108474236,12.01
47,4800,12.408304597359457,12.53812250697595,12.0
48,4900,12.408304597359457,12.531875727138186,12.0
49,5000,12.408304597359457,12.523237912132094,12.0
50,5100,12.378232998312527,12.507372845092437,12.03
51,5200,12.378232998312527,12.499642158902668,12.03
52,5300,12.378232998312527,12.496333525238743,12.03
53,5400,12.378232998312527,12.488829127721438,12.03
54,5500,12.378232998312527,12.485809686837957,12.04
55,5600,12.378232998312527,12.477752374571532,12.06
56,5700,12.378232998312527,12.468101295881088,12.06
57,5800,12.378232998312527,12.46419656261461,12.07
58,5900,12.378232998312527,12.458307712980947,12.09
59,6000,12.378232998312527,12.452530772085511,12.09
60,6100,12.378232998312527,12.448097437810015,12.05
61,6200,12.378232998312527,12.443424394106263,12.05
62,6300,12.299999999999999,12.43696162071688,12.1
63,6400,12.299999999999999,12.434443234709533,12.1
64,6500,12.299999999999999,12.431749302623906,12.11
65,6600,12.299999999999999,12.426645368268444,12.14
66,6700,12.299999999999999,12.422648960717998,12.15
67,6800,12.299999999999999,12.418721032883958,12.17
68,6900,12.299999999999999,12.415884289982719,12.19
69,7000,12.299999999999999,12.415520561671784,12.19
70,7100,12.299999999999999,12.412767837148657,12.21
71,7200,12.299999999999999,12.408012777236001,12.25
72,7300,12.299999999999999,12.405123093280068,12.25
73,7400,12.299999999999999,12.40223340932413,12.25
74,7500,12.299999999999999,12.400410157306,12.32
75,7600,12.299999999999999,12.397064369260214,12.44
76,7700,12.18309518948453,12.390961705279743,12.56
77,7800,12.18309518948453,12.388494897342085,12.62
78,7900,12.18309518948453,12.38594504343083,12.7
79,8000,12.18309518948453,12.382170413324422,12.78
80,8100,12.18309518948453,12.377098023385509,12.91
81,8200,12.18309518948453,12.373548169474256,12.99
82,8300,12.18309518948453,12.36348997738519,13.15
83,8400,12.18309518948453,12.362323885438,13.2
84,8500,12.18309518948453,12.356517787427684,13.34
85,8600,12.18309518948453,12.352283455561896,13.48
86,8700,12.18309518948453,12.348895543577514,13.55
87,8800,12.18309518948453,12.337724031473295,13.72
88,8900,12.18309518948453,12.330755991536103,13.87
89,9000,12.18309518948453,12.326981361429702,13.95
90,9100,12.18309518948453,12.321376973290798,13.95
91,9200,12.18309518948453,12.317544157560798,13.96
92,9300,12.18309518948453,12.309378487963622,14.01
93,9400,12.18309518948453,12.302418139861906,14.03
94,9500,12.18309518948453,12.292814633341608,14.04
95,9600,12.18309518948453,12.286564887215672,14.05
96,9700,12.18309518948453,12.284217897266299,14.05
97,9800,12.18309518948453,12.280306247350673,14.05
98,9900,12.18309518948453,12.271942845476286,14.04
99,10000,12.18309518948453,12.26843570116082,14.04
100,10100,12.18309518948453,12.264928556845357,14.04
