generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,16.32327315115946,19.63716308914521,19.49
2,300,15.677213725647858,17.89174379157698,14.43
3,400,15.593237062523878,16.821578394631555,9.82
4,500,14.9,16.320028211248015,10.0
5,600,14.861547262794321,15.952406589484312,9.06
6,700,14.535533905932738,15.685189744637778,8.8
7,800,14.535533905932738,15.425762474332494,8.5
8,900,14.535533905932738,15.217192671304671,8.6
9,1000,14.535533905932738,15.06266301909714,8.44
10,1100,14.088435821108957,14.857994550872922,8.41
11,1200,14.088435821108957,14.73524887415042,8.37
12,1300,14.088435821108957,14.668218795238555,8.51
13,1400,14.088435821108957,14.619582340170147,8.55
14,1500,14.088435821108957,14.56627693154554,8.73
15,1600,14.088435821108957,14.513802143519237,8.9
16,1700,14.079075450674063,14.469387544854133,8.98
17,1800,14.079075450674063,14.431404321890989,9.03
18,1900,14.079075450674063,14.378085361377712,9.42
19,2000,13.554065922853802,14.308081484247516,9.86
20,2100,13.554065922853802,14.260716160547428,10.04
21,2200,13.554065922853802,14.217662023382708,10.1
22,2300,13.554065922853802,14.193191491479997,10.13
23,2400,13.554065922853802,14.155149203264354,10.18
24,2500,13.554065922853802,14.11975230451456,10.19
25,2600,13.493468988235943,14.080933411355012,10.24
26,2700,13.35870331449229,14.027378158703991,10.37
27,2800,13.214944167960988,13.95090897374745,10.72
28,2900,13.08679622641132,13.871727213383606,10.97
29,3000,13.08679622641132,13.770642072190402,11.21
30,3100,13.08679622641132,13.68860079207065,11.49
31,3200,13.08679622641132,13.629869696831493,11.6
32,3300,13.08679622641132,13.571829206217851,11.71
33,3400,13.08679622641132,13.514549750724491,11.79
34,3500,13.057583690279023,13.455905141579585,11.9
35,3600,13.057583690279023,13.417889849931928,11.95
36,3700,13.033030277982336,13.372580057795739,12.04
37,3800,13.033030277982336,13.323049866236145,12.07
38,3900,13.033030277982336,13.2888347411244,12.1
39,4000,13.033030277982336,13.259617460778342,12.11
40,4100,13.033030277982336,13.24997689181955,12.11
41,4200,12.9,13.228262127167895,12.12
42,4300,12.9,13.198040378359469,12.12
43,4400,12.9,13.180668208123652,12.13
44,4500,12.9,13.153768073836718,12.12
45,4600,12.9,13.131758910561652,12.12
46,4700,12.9,13.111500777545897,12.12
47,4800,12.9,13.094782274627415,12.12
48,4900,12.9,13.088326428066626,12.13
49,5000,12.9,13.078445391507485,12.16
50,5100,12.768438714135812,13.06635952103827,12.16
51,5200,12.768438714135812,13.054953377498377,12.17
52,5300,12.756465996625053,13.04844277281071,12.17
53,5400,12.756465996625053,13.028582577006572,12.17
54,5500,12.756465996625053,13.0171482308564,12.12
55,5600,12.756465996625053,13.009240554405164,12.08
56,5700,12.756465996625053,13.000251043217025,12.08
57,5800,12.756465996625053,12.97733474244329,12.09
58,5900,12.756465996625053,12.961766409551306,12.09
59,6000,12.756465996625053,12.94796037370667,12.06
60,6100,12.756465996625053,12.942126486998118,12.01
61,6200,12.756465996625053,12.921216463534293,12.02
62,6300,12.756465996625053,12.903711902275004,12.02
63,6400,12.756465996625053,12.890091462741958,12.02
64,6500,12.756465996625053,12.877582612612013,12.01
65,6600,12.756465996625053,12.861048949205356,12.0
66,6700,12.756465996625053,12.855968829809068,12.0
67,6800,12.756465996625053,12.841977039152246,12.01
68,6900,12.756465996625053,12.836434632864346,12.01
69,7000,12.72736184954957,12.83024200358037,12.02
70,7100,12.72736184954957,12.824230472556525,12.03
71,7200,12.72736184954957,12.816097341054459,12.03
72,7300,12.72736184954957,12.81249543698465,12.04
73,7400,12.72736184954957,12.80586164460144,12.05
74,7500,12.72736184954957,12.799221720899382,12.06
75,7600,12.72736184954957,12.794994927470126,12.06
76,7700,12.72736184954957,12.786981523143167,12.06
77,7800,12.72736184954957,12.783331046947758,12.08
78,7900,12.72736184954957,12.778813334760384,12.04
79,8000,12.72736184954957,12.775586633569342,12.04
80,8100,12.72736184954957,12.768097573181949,12.04
81,8200,12.72736184954957,12.765328438697292,12.04
82,8300,12.72736184954957,12.76496925717197,12.04
83,8400,12.72736184954957,12.76449034847154,12.04
84,8500,12.72736184954957,12.764370621296433,12.04
85,8600,12.72736184954957,12.763480943950139,12.05
86,8700,12.72736184954957,12.763361216775031,12.05
87,8800,12.72736184954957,12.763002035249707,12.05
88,8900,12.72736184954957,12.7615679402627,12.09
89,9000,12.72736184954957,12.76132848591248,12.09
90,9100,12.72736184954957,12.76096930438716,12.09
91,9200,12.72736184954957,12.76058054738679,12.1
92,9300,12.72736184954957,12.760221365861467,12.1
93,9400,12.72736184954957,12.759622729985928,12.1
94,9500,12.72736184954957,12.758479676469674,12.13
95,9600,12.72736184954957,12.757418684827734,12.15
96,9700,12.72736184954957,12.75664873465655,12.16
97,9800,12.72736184954957,12.754638015439491,12.2
98,9900,12.72736184954957,12.752440328271486,12.24
99,10000,12.72736184954957,12.751088295158793,12.27
100,10100,12.72736184954957,12.7501986178125,12.28
