generation,evaluations,mean_parent_fitness
1,100,20.26543005953451
2,200,18.72962372893922
3,300,17.30108489569737
4,400,16.68493832865102
5,500,16.583698061818335
6,600,16.449842608796146
7,700,16.23442932119229
8,800,16.231578143403684
9,900,15.985643461175519
10,1000,16.15203665146379
11,1100,15.95862905065091
12,1200,16.018745529938148
13,1300,16.146155001079755
14,1400,16.017752518538952
15,1500,15.6929857427412
16,1600,15.654938827715053
17,1700,15.63941724848489
18,1800,16.133590502686026
19,1900,16.250194791329307
20,2000,15.89457043623409
21,2100,15.608018515861025
22,2200,15.421507327183075
23,2300,15.005663448891834
24,2400,14.98408995719397
25,2500,15.348813500793403
26,2600,15.298938665760272
27,2700,15.494246453135489
28,2800,15.514911216178286
29,2900,15.125857725861303
30,3000,15.134778213415078
31,3100,15.152067824492997
32,3200,15.133725899385425
33,3300,15.087003854155387
34,3400,14.967093805563326
35,3500,14.958148890850628
36,3600,15.21722407911022
37,3700,15.845174817188408
38,3800,15.516524164177273
39,3900,15.511122546702747
40,4000,15.077297433596637
41,4100,14.917837602310865
42,4200,14.99869434028121
43,4300,15.014752392296808
44,4400,15.087350363567856
45,4500,15.191082412659615
46,4600,15.197665653971418
47,4700,15.341446215490802
48,4800,15.028671461515472
49,4900,14.938868589824741
50,5000,15.249007612953637
51,5100,15.249180741352095
52,5200,14.89331223885732
53,5300,14.858297293408839
54,5400,14.8195317843013
55,5500,14.964551322305862
56,5600,14.687672619654634
57,5700,14.8276602338717
58,5800,14.844132378303925
59,5900,14.753216795922034
60,6000,14.786897304898421
61,6100,14.910736715604656
62,6200,14.902097929892609
63,6300,14.963128124977041
64,6400,15.007532761704582
65,6500,15.088963339956956
66,6600,14.877937717985423
67,6700,15.382289834171123
68,6800,15.580983336441477
69,6900,15.261789021309164
70,7000,15.056661697174784
71,7100,14.67877318342039
72,7200,14.600027415412399
73,7300,14.724883043173403
74,7400,14.892041498050947
75,7500,15.331731743507834
76,7600,15.318328473835766
77,7700,15.275621669805727
78,7800,15.51538877497949
79,7900,15.375365751425425
80,8000,15.13780720623726
81,8100,14.74430290700339
82,8200,15.002663960496118
83,8300,14.754159369694813
84,8400,15.092775539797135
85,8500,14.663997424603664
86,8600,14.813237419824858
87,8700,14.821368807193505
88,8800,14.769293041917518
89,8900,14.5509522342769
90,9000,15.15254508211803
91,9100,14.84053881921399
92,9200,15.0181580633753
93,9300,15.175572989503655
94,9400,15.156180957462729
95,9500,15.41261053067748
96,9600,15.198360553114933
97,9700,15.109626073555592
98,9800,14.936212944988108
99,9900,14.832244384458722
100,10000,14.848370530141526
