generation,evaluations,best_fitness,mean_fitness,mean_modules
1,100,18.400000000000002,20.761414713313915,21.0
2,200,18.400000000000002,20.928960250791246,21.0
3,300,18.400000000000002,20.945484292586958,21.0
4,400,17.98309518948453,20.674439513261248,21.0
5,500,17.98309518948453,20.60240799508288,21.0
6,600,17.80384048104053,20.834775686037545,21.0
7,700,17.80384048104053,20.772651396467477,21.0
8,800,17.735270009440733,20.98719447364442,21.0
9,900,17.735270009440733,20.908120143654582,21.0
10,1000,17.735270009440733,20.746741853030695,21.0
11,1100,17.735270009440733,20.976020276346866,21.0
12,1200,17.735270009440733,20.754520668137303,21.0
13,1300,17.735270009440733,20.668175351105955,21.0
14,1400,17.735270009440733,20.8845417193128,21.0
15,1500,17.735270009440733,20.89674123188273,21.0
16,1600,17.735270009440733,20.90331413730293,21.0
17,1700,17.735270009440733,20.820397247242603,21.0
18,1800,17.735270009440733,20.937598270775702,21.0
19,1900,17.735270009440733,20.770171660164564,21.0
20,2000,17.735270009440733,20.645498004253863,21.0
21,2100,17.735270009440733,20.85423149270641,21.0
22,2200,17.735270009440733,20.67440531375238,21.0
23,2300,17.735270009440733,20.7939928801116,21.0
24,2400,17.735270009440733,20.86476176381083,21.0
25,2500,17.735270009440733,20.7819956830363,21.0
26,2600,17.735270009440733,20.729945890700623,21.0
27,2700,17.735270009440733,20.78841655870196,21.0
28,2800,17.735270009440733,20.657238447712647,21.0
29,2900,17.735270009440733,20.82917727184499,21.0
30,3000,17.735270009440733,20.994596359903746,21.0
31,3100,17.735270009440733,20.67417058095375,21.0
32,3200,17.735270009440733,20.823468458897434,21.0
33,3300,17.735270009440733,20.95564880904328,21.0
34,3400,17.683095189484533,20.982259201694493,21.0
35,3500,17.683095189484533,20.76911834068717,21.0
36,3600,17.683095189484533,20.83039778884693,21.0
37,3700,17.683095189484533,20.780531283143112,21.0
38,3800,17.683095189484533,20.738436493994733,21.0
39,3900,17.683095189484533,20.910603542559862,21.0
40,4000,17.52664991614216,20.71210083668637,21.0
41,4100,17.52664991614216,20.739951994021936,21.0
42,4200,17.52664991614216,20.91421460335349,21.0
43,4300,17.52664991614216,20.781322453465517,21.0
44,4400,17.52664991614216,20.790528684583393,21.0
45,4500,17.52664991614216,20.764051430871774,21.0
46,4600,17.52664991614216,20.804586346276814,21.0
47,4700,17.52664991614216,20.81021098375692,21.0
48,4800,17.52664991614216,20.779330187398777,21.0
49,4900,17.52664991614216,20.85167052869612,21.0
50,5000,17.52664991614216,20.84698579633451,21.0
51,5100,17.047722557505168,20.6945531243021,21.0
52,5200,17.047722557505168,20.87043758414623,21.0
53,5300,17.047722557505168,21.033540975395482,21.0
54,5400,17.047722557505168,20.87926321965666,21.0
55,5500,17.047722557505168,20.66982399622067,21.0
56,5600,17.047722557505168,20.906525209659158,21.0
57,5700,17.047722557505168,20.947136221378834,21.0
58,5800,17.047722557505168,20.87291577808726,21.0
59,5900,17.047722557505168,20.75644453579204,21.0
60,6000,17.047722557505168,20.941280470498803,21.0
61,6100,17.047722557505168,20.744149989959734,21.0
62,6200,17.047722557505168,20.883024162500142,21.0
63,6300,17.047722557505168,20.66800990031097,21.0
64,6400,17.047722557505168,20.729866544243876,21.0
65,6500,17.047722557505168,20.62625109334176,21.0
66,6600,17.047722557505168,20.744330660911075,21.0
67,6700,17.047722557505168,20.732180072093932,21.0
68,6800,17.047722557505168,20.82244314896372,21.0
69,6900,17.047722557505168,20.64419754762477,21.0
70,7000,17.047722557505168,20.738752303988313,21.0
71,7100,17.047722557505168,20.86097554812724,21.0
72,7200,17.047722557505168,21.057065359630187,21.0
73,7300,17.047722557505168,20.722445362552968,21.0
74,7400,17.047722557505168,20.77464297937606,21.0
75,7500,17.047722557505168,20.875524889520864,21.0
76,7600,17.047722557505168,20.717585076893098,21.0
77,7700,16.56332495807108,20.86813840917862,21.0
78,7800,16.56332495807108,20.968076044546443,21.0
79,7900,16.56332495807108,20.73027297954096,21.0
80,8000,16.56332495807108,20.875701221159684,21.0
81,8100,16.56332495807108,20.835688193735464,21.0
82,8200,16.56332495807108,20.68720132385116,21.0
83,8300,16.56332495807108,20.815940175881114,21.0
84,8400,16.56332495807108,20.87998404497562,21.0
85,8500,16.56332495807108,20.72853914136863,21.0
86,8600,16.56332495807108,20.88595712047653,21.0
87,8700,16.56332495807108,20.76112499376848,21.0
88,8800,16.56332495807108,20.67114858045448,21.0
89,8900,16.56332495807108,20.89138768747258,21.0
90,9000,16.56332495807108,20.8135705657716,21.0
91,9100,16.56332495807108,20.675632527411686,21.0
92,9200,16.56332495807108,20.76174499113746,21.0
93,9300,16.56332495807108,20.69800639382191,21.0
94,9400,16.56332495807108,20.854136290114383,21.0
95,9500,16.56332495807108,20.871150787128077,21.0
96,9600,16.56332495807108,20.756025413818985,21.0
97,9700,16.56332495807108,20.798242379345705,21.0
98,9800,16.56332495807108,20.801637910773035,21.0
99,9900,16.56332495807108,20.841739317843818,21.0
100,10000,16.56332495807108,20.65251293723647,21.0
101,10100,16.56332495807108,20.76591606742392,21.0
