generation,evaluations,mean_parent_fitness
1,100,20.656716071753088
2,200,18.132151208054083
3,300,17.139490168992605
4,400,16.991620910786075
5,500,16.722077050894917
6,600,16.487534934471817
7,700,16.603441810156585
8,800,16.349976644084247
9,900,16.56767750045382
10,1000,16.422630319905615
11,1100,16.311517428192953
12,1200,16.419414486866714
13,1300,16.381130868117793
14,1400,16.54604010590581
15,1500,16.327903133529464
16,1600,16.385676465567723
17,1700,16.435587753684807
18,1800,16.66949172659006
19,1900,16.811293945504282
20,2000,16.984407946947023
21,2100,16.915681746575803
22,2200,16.742694358894674
23,2300,16.297796082026643
24,2400,16.372123800561006
25,2500,16.13625254459032
26,2600,16.420268962890162
27,2700,16.57492141298874
28,2800,16.35654678790035
29,2900,16.49149763148472
30,3000,16.465124277010016
31,3100,16.43461089691948
32,3200,16.56937477754368
33,3300,16.631366246870847
34,3400,16.54367225426465
35,3500,16.49863338023839
36,3600,16.552262037285324
37,3700,16.165820741920207
38,3800,16.589026573035497
39,3900,16.152970614611622
40,4000,16.298671983978682
41,4100,16.0311738459392
42,4200,16.30882562016776
43,4300,16.379335596293537
44,4400,16.315564818509916
45,4500,16.07411259515988
46,4600,16.10012653547406
47,4700,16.121152931865847
48,4800,16.06279702038068
49,4900,16.041104997059353
50,5000,15.878432263836483
51,5100,15.971680835358379
52,5200,16.01585450473629
53,5300,16.451344869365546
54,5400,15.831540463545423
55,5500,16.54583466021697
56,5600,16.137741837419835
57,5700,16.366575002397987
58,5800,16.27041318338954
59,5900,16.002986800581105
60,6000,16.04672197844799
61,6100,15.961866921926491
62,6200,16.068592684325218
63,6300,16.178349222716683
64,6400,16.765854276358112
65,6500,16.18959220924062
66,6600,16.389037697394834
67,6700,16.46174915391621
68,6800,16.176604572520624
69,6900,16.11036602911843
70,7000,16.501645921757493
71,7100,16.280033050845816
72,7200,16.130747567231236
73,7300,16.141430732917986
74,7400,16.454632588305838
75,7500,16.05701310309746
76,7600,16.29401277929523
77,7700,15.57248201476969
78,7800,15.220893054147899
79,7900,15.09421347237838
80,8000,15.206623628302868
81,8100,15.519209585601606
82,8200,15.666720859846503
83,8300,15.625497616215094
84,8400,15.755092664312912
85,8500,15.84158909088776
86,8600,16.33792968468954
87,8700,16.503135749163185
88,8800,16.228335098623223
89,8900,16.549604840742127
90,9000,16.341776594442926
91,9100,15.985905236803564
92,9200,15.560778038012222
93,9300,15.60656679785273
94,9400,15.951369059402058
95,9500,15.787296579627233
96,9600,15.404411936326984
97,9700,15.72945362803677
98,9800,15.64759487195261
99,9900,15.611878010478659
100,10000,15.658759771759055
