generation,evaluations,mean_parent_fitness
1,100,20.346729733253262
2,200,18.605447048879103
3,300,17.462555079484353
4,400,16.98192765141345
5,500,16.218742131864314
6,600,15.76399174476046
7,700,15.606881636926285
8,800,15.931353503475625
9,900,16.121861265784638
10,1000,15.585301250573892
11,1100,15.396666062134306
12,1200,15.67026395714718
13,1300,15.498320250026296
14,1400,15.390567691958363
15,1500,15.649603121989454
16,1600,15.628052686925225
17,1700,15.54032649735891
18,1800,15.432407480656924
19,1900,15.4765012183843
20,2000,15.393663832342947
21,2100,15.608618463276326
22,2200,15.870726632764502
23,2300,15.343113297446838
24,2400,15.130231508133358
25,2500,15.47457930298393
26,2600,15.66011418015772
27,2700,15.811940173859224
28,2800,15.947141681408315
29,2900,15.750317556185953
30,3000,15.913935174751893
31,3100,15.88200876863767
32,3200,15.9248838271098
33,3300,15.23817834993935
34,3400,15.421654801400697
35,3500,15.554982444995385
36,3600,15.316685892691387
37,3700,15.218889161626441
38,3800,15.084799801308133
39,3900,15.104365729046823
40,4000,15.531519551685909
41,4100,15.590280411334039
42,4200,15.394425050412377
43,4300,15.50773756671513
44,4400,15.181662390445808
45,4500,15.039236969238246
46,4600,14.961559455885538
47,4700,15.11122514736924
48,4800,15.688352417985405
49,4900,15.666642488290597
50,5000,15.63381371793329
51,5100,15.386519496353326
52,5200,15.42884214167822
53,5300,15.254534074713693
54,5400,15.23498643241003
55,5500,15.002828576520097
56,5600,15.36887866683146
57,5700,15.57995596684911
58,5800,14.82464828766806
59,5900,14.840817248457665
60,6000,15.180222482302824
61,6100,15.291754106505383
62,6200,15.466731984617317
63,6300,15.412242989536065
64,6400,15.509120355857467
65,6500,15.591952037111602
66,6600,15.457524020611384
67,6700,15.688046068808456
68,6800,15.33537172268469
69,6900,16.057109757547554
70,7000,16.18808095335084
71,7100,15.995921241145453
72,7200,15.621307172942807
73,7300,15.363792076477443
74,7400,15.171685302088795
75,7500,14.889759640909213
76,7600,15.289679160073991
77,7700,15.12039958038375
78,7800,15.025179481684834
79,7900,15.085081694412484
80,8000,14.95204403081878
81,8100,15.078177835332548
82,8200,14.681898721572699
83,8300,15.09059132636458
84,8400,15.077164805792425
85,8500,15.717158761208063
86,8600,15.498819385509426
87,8700,15.67667633833599
88,8800,15.66050257263432
89,8900,15.573283213214376
90,9000,15.37923862368616
91,9100,14.79976887142825
92,9200,15.140730378059374
93,9300,15.171233798892393
94,9400,15.62029598700858
95,9500,15.263642376676136
96,9600,15.272804451873167
97,9700,15.684511146356517
98,9800,15.463672676270175
99,9900,15.39163401027091
100,10000,15.590075455838058
