generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,16.32652091923859,19.338351073891086,18.25
2,300,14.7319206502675,18.561101292841748,15.95
3,400,14.691454509095756,17.978054747458994,14.53
4,500,14.691454509095756,17.683393603436784,12.07
5,600,14.691454509095756,16.875569510789067,11.7
6,700,14.464101615137753,16.493121655106336,9.64
7,800,14.464101615137753,16.522231824150314,8.56
8,900,14.464101615137753,16.38158499998483,8.74
9,1000,14.452610922848041,16.402921121271135,8.2
10,1100,14.452610922848041,16.492394025439385,7.93
11,1200,14.452610922848041,16.47385243838467,7.94
12,1300,14.452610922848041,16.40175868469918,8.86
13,1400,14.452610922848041,16.1780877343434,9.52
14,1500,14.452610922848041,16.313276309478898,9.09
15,1600,14.098386676965934,16.27706433541383,9.48
16,1700,14.098386676965934,16.268885754161243,9.61
17,1800,14.098386676965934,16.193108113121948,8.93
18,1900,14.098386676965934,16.223754527023505,8.87
19,2000,13.682085548648711,16.1453748527828,9.27
20,2100,13.682085548648711,16.13201365288422,8.89
21,2200,13.682085548648711,16.044277303165217,8.99
22,2300,13.437715508089905,15.698418157063072,10.03
23,2400,13.437715508089905,15.740826423363385,9.46
24,2500,13.380697580112788,15.688865725245762,10.11
25,2600,13.18997487421324,15.291934050020187,10.41
26,2700,13.18997487421324,15.585879281520299,10.15
27,2800,13.18997487421324,15.66124617300364,9.95
28,2900,13.18997487421324,15.519756553681637,10.25
29,3000,13.18997487421324,15.458547746068087,9.85
30,3100,13.18997487421324,15.409437544282081,9.66
31,3200,12.977638883463117,15.578973051500622,9.31
32,3300,12.977638883463117,15.552286982280076,9.61
33,3400,12.977638883463117,15.420624129450067,10.07
34,3500,12.891153452528776,15.46485149357085,9.79
35,3600,12.891153452528776,15.478164297525346,10.06
36,3700,12.891153452528776,15.417717338865796,10.48
37,3800,12.891153452528776,15.378264923497278,10.42
38,3900,12.891153452528776,15.542505292608434,10.44
39,4000,12.891153452528776,15.756860589159785,9.82
40,4100,12.891153452528776,15.799095351584967,9.94
41,4200,12.891153452528776,15.738918066728177,9.68
42,4300,12.732050807568877,15.534195078043467,9.11
43,4400,12.732050807568877,15.203299943059934,9.93
44,4500,12.673320053068151,15.144663622389379,9.95
45,4600,12.673320053068151,15.26174222144034,10.45
46,4700,12.673320053068151,15.23096358700498,10.55
47,4800,12.673320053068151,15.130561628944612,11.33
48,4900,12.673320053068151,14.982734056472736,11.29
49,5000,12.673320053068151,15.194017087771785,9.97
50,5100,12.673320053068151,15.322118587772952,10.42
51,5200,12.673320053068151,15.189492064378905,10.63
52,5300,12.673320053068151,15.34728287378412,10.59
53,5400,12.673320053068151,15.26087849980756,10.59
54,5500,12.673320053068151,15.248552167584334,11.11
55,5600,12.673320053068151,15.487203210391737,11.0
56,5700,12.673320053068151,15.389217048764635,11.23
57,5800,12.635270009440731,15.188234484455206,10.07
58,5900,12.635270009440731,15.21783503930375,9.87
59,6000,12.635270009440731,15.38169403171178,10.01
60,6100,12.635270009440731,15.296232664546483,10.51
61,6200,12.635270009440731,15.04724615387012,10.48
62,6300,12.635270009440731,14.986072409335048,10.89
63,6400,12.635270009440731,14.879205423487306,11.23
64,6500,12.635270009440731,14.855651858729265,10.96
65,6600,12.635270009440731,14.992415088325172,10.37
66,6700,12.635270009440731,15.008032172905589,10.98
67,6800,12.635270009440731,15.333617212232141,10.15
68,6900,12.635270009440731,15.228094732096386,10.39
69,7000,12.635270009440731,15.182649098585793,10.42
70,7100,12.635270009440731,15.277421555090287,10.76
71,7200,12.635270009440731,15.084731001294575,11.16
72,7300,12.635270009440731,15.097262643888186,11.64
73,7400,12.635270009440731,15.147631245811843,10.68
74,7500,12.635270009440731,15.12827077690841,10.45
75,7600,12.635270009440731,14.911473416984224,10.84
76,7700,12.635270009440731,15.258875904347457,10.29
77,7800,12.635270009440731,15.08337448037091,11.04
78,7900,12.635270009440731,15.142654178930993,10.48
79,8000,12.635270009440731,15.183267869279213,10.05
80,8100,12.635270009440731,15.295856473552872,10.5
81,8200,12.635270009440731,15.449863249207429,10.81
82,8300,12.635270009440731,15.5547719718773,10.65
83,8400,12.635270009440731,15.35583452414375,10.33
84,8500,12.635270009440731,15.147026464687215,10.79
85,8600,12.635270009440731,14.9624640614746,10.75
86,8700,12.635270009440731,15.185591919853637,9.6
87,8800,12.635270009440731,15.358195422678008,10.1
88,8900,12.635270009440731,15.156560054662528,10.09
89,9000,12.635270009440731,15.02493953001484,10.39
90,9100,12.635270009440731,15.184792439613522,10.57
91,9200,12.635270009440731,14.795567973211249,10.84
92,9300,12.635270009440731,14.914161380076491,10.43
93,9400,12.635270009440731,15.041910570359601,10.74
94,9500,12.635270009440731,14.972557420851826,10.88
95,9600,12.635270009440731,15.085000668491787,10.78
96,9700,12.635270009440731,15.18443936064927,10.47
97,9800,12.635270009440731,15.287244612238892,10.27
98,9900,12.635270009440731,15.120829573958652,11.15
99,10000,12.635270009440731,15.036626738568566,11.55
100,10100,12.635270009440731,14.75652232581312,11.47
