generation,evaluations,mean_parent_fitness
1,100,20.523579953150325
2,200,17.82677171855203
3,300,16.906280157314104
4,400,16.67371621155415
5,500,16.4767533846273
6,600,16.253828514826502
7,700,16.098697322472695
8,800,16.090593230650903
9,900,15.957221618853998
10,1000,15.939099778548215
11,1100,15.944181697179854
12,1200,15.78012719055686
13,1300,15.726006302361109
14,1400,15.427396122836871
15,1500,15.590351216035225
16,1600,15.699256666288553
17,1700,15.763996475498468
18,1800,15.487144940756323
19,1900,15.638240614616445
20,2000,15.287720539274872
21,2100,15.435357402838303
22,2200,15.701381254591315
23,2300,15.628118524519383
24,2400,15.392631718386394
25,2500,15.221666925595201
26,2600,15.251110472837592
27,2700,15.12781512753042
28,2800,15.317302067504263
29,2900,15.664374766853436
30,3000,15.341851649121171
31,3100,15.51217128994902
32,3200,15.706974472195768
33,3300,15.655142864820315
34,3400,15.451307464635594
35,3500,15.046617048638172
36,3600,15.628238604384075
37,3700,15.482518916744024
38,3800,15.502093186497698
39,3900,15.308262126856278
40,4000,15.695333135837103
41,4100,15.543089794549875
42,4200,15.45776013484046
43,4300,15.306669457499577
44,4400,15.270849155190195
45,4500,15.51810943633022
46,4600,15.732948463037056
47,4700,15.670596463398777
48,4800,15.536901397558495
49,4900,15.48277424520506
50,5000,15.258544261745422
51,5100,15.07414774037064
52,5200,15.363215185863407
53,5300,15.524918555823655
54,5400,15.279989370131835
55,5500,14.787389099056082
56,5600,15.396141425121806
57,5700,15.662411753875102
58,5800,15.590136876814089
59,5900,15.244278459739059
60,6000,15.502518679385807
61,6100,15.58288525142737
62,6200,15.305546774305963
63,6300,15.088578898846995
64,6400,15.458649334886124
65,6500,15.308107297834187
66,6600,14.943777602968277
67,6700,14.921935839201263
68,6800,15.094954208815768
69,6900,15.091422233428423
70,7000,15.507795050210936
71,7100,15.47063472437856
72,7200,15.686102738017851
73,7300,15.529219405709688
74,7400,15.553800912429097
75,7500,15.474141675026951
76,7600,15.42416408293062
77,7700,15.202390459592305
78,7800,14.79142382769597
79,7900,14.897600512580592
80,8000,14.617912222626918
81,8100,15.247558570412036
82,8200,15.733616653265443
83,8300,15.479676561717303
84,8400,15.460865375832928
85,8500,15.030375879868009
86,8600,15.102310193065929
87,8700,15.247110260681893
88,8800,15.10358635476103
89,8900,15.413935222663564
90,9000,15.629326531843134
91,9100,15.816512659101061
92,9200,15.696852460233682
93,9300,15.517630812442281
94,9400,15.522092389250227
95,9500,15.147699045882224
96,9600,15.242398752349093
97,9700,15.25760432118471
98,9800,15.09229504817748
99,9900,15.41744045853034
100,10000,14.97610530438032
