generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,15.858898943540673,19.074865002263806,17.4
2,300,15.252396473549934,17.440076440532692,12.55
3,400,15.19722114972099,16.956943543220554,9.96
4,500,14.834057902536163,16.730743684088324,8.14
5,600,14.834057902536163,16.57781820500644,8.09
6,700,14.768595903550972,16.334737002649153,8.13
7,800,14.521363372331802,16.11979953148088,7.78
8,900,14.521363372331802,16.280273092254973,7.23
9,1000,14.521363372331802,16.29279147114632,7.44
10,1100,14.521363372331802,15.961087194010993,8.43
11,1200,14.435112807463533,16.148952937786373,8.4
12,1300,14.435112807463533,16.110562859699687,8.53
13,1400,14.141311123146739,16.168057625862016,8.09
14,1500,14.141311123146739,15.963181858756508,9.15
15,1600,14.012403840463595,15.802514040126068,9.78
16,1700,13.960232526704262,15.81388025975147,9.31
17,1800,13.878404875209021,15.999773293041018,10.1
18,1900,13.683281572999748,15.841265738406001,9.44
19,2000,13.683281572999748,15.943201157264284,9.48
20,2100,13.54899959967968,15.801455466050784,9.28
21,2200,13.54899959967968,15.883621186045554,8.52
22,2300,13.54899959967968,15.911565389843423,8.61
23,2400,13.54899959967968,16.04985317855704,8.45
24,2500,13.54899959967968,15.954197876018089,8.77
25,2600,13.54899959967968,15.966550789521479,9.68
26,2700,13.54899959967968,15.640721753240776,9.75
27,2800,13.54899959967968,15.754867577827751,9.78
28,2900,13.54899959967968,15.705595309522266,9.45
29,3000,13.54899959967968,15.625505460357886,9.2
30,3100,13.340967364599086,15.360646308616415,9.93
31,3200,13.340967364599086,15.146679344516834,9.82
32,3300,13.257583690279022,15.359499966418957,9.69
33,3400,13.257583690279022,15.202815700779912,10.18
34,3500,13.257583690279022,15.333954359866084,11.07
35,3600,13.257583690279022,15.303923074277758,11.43
36,3700,13.257583690279022,15.474271063569363,11.33
37,3800,13.257583690279022,15.650280522640301,10.81
38,3900,13.257583690279022,15.916538603865117,9.56
39,4000,13.257583690279022,15.756546961504489,10.17
40,4100,13.257583690279022,15.808962128885518,9.97
41,4200,13.069535971483266,15.471476824144533,10.12
42,4300,13.069535971483266,15.64460500512853,10.05
43,4400,13.069535971483266,15.655276277984491,10.29
44,4500,13.069535971483266,15.825156503212161,9.86
45,4600,13.069535971483266,15.598360207748653,10.01
46,4700,13.069535971483266,15.604692879571996,10.11
47,4800,13.069535971483266,15.657682158398929,10.74
48,4900,13.069535971483266,15.73550394719469,9.66
49,5000,13.069535971483266,15.454153656657656,10.14
50,5100,13.069535971483266,15.215363066570639,10.79
51,5200,13.069535971483266,15.167818361490811,10.8
52,5300,13.069535971483266,15.267318500776842,10.83
53,5400,13.069535971483266,15.149141440307744,11.36
54,5500,12.98309518948453,15.32177009669763,11.25
55,5600,12.98309518948453,15.188043249126565,10.15
56,5700,12.98309518948453,15.332085939301692,11.11
57,5800,12.98309518948453,15.592452249644095,10.73
58,5900,12.98309518948453,15.77866992391831,10.55
59,6000,12.98309518948453,15.608849157288644,10.17
60,6100,12.98309518948453,15.468487100505577,9.85
61,6200,12.98309518948453,15.253123058229727,10.17
62,6300,12.98309518948453,15.14173971893196,11.37
63,6400,12.98309518948453,15.117643661269923,11.3
64,6500,12.98309518948453,15.155530660766079,10.97
65,6600,12.98309518948453,15.372971187523667,11.35
66,6700,12.98309518948453,15.044304309546769,12.0
67,6800,12.98309518948453,15.098616989354834,12.58
68,6900,12.98309518948453,15.179080849036993,11.95
69,7000,12.98309518948453,15.31352031529783,11.52
70,7100,12.98309518948453,15.419651397423838,11.23
71,7200,12.978232998312528,15.413681253081668,11.29
72,7300,12.978232998312528,15.326516989817218,12.14
73,7400,12.978232998312528,15.595527163517929,12.3
74,7500,12.978232998312528,15.514373026741632,10.96
75,7600,12.978232998312528,15.613398798621727,10.1
76,7700,12.978232998312528,15.371072493502863,10.03
77,7800,12.978232998312528,15.259615933780514,10.12
78,7900,12.816227766016837,15.345954716173571,10.64
79,8000,12.816227766016837,15.460178307867693,10.14
80,8100,12.816227766016837,15.317807258658704,10.57
81,8200,12.816227766016837,15.23376007064877,10.34
82,8300,12.816227766016837,15.248349380758984,10.69
83,8400,12.816227766016837,15.37209116805135,10.09
84,8500,12.816227766016837,15.53300185997108,10.75
85,8600,12.816227766016837,15.251302529071983,10.92
86,8700,12.816227766016837,15.162610808916881,11.8
87,8800,12.589897948556635,15.131602067308881,12.04
88,8900,12.589897948556635,15.136629162412403,12.16
89,9000,12.589897948556635,15.3306283015315,11.53
90,9100,12.589897948556635,15.362988219453547,11.1
91,9200,12.589897948556635,15.298113605574338,11.8
92,9300,12.589897948556635,15.162668232110018,12.67
93,9400,12.589897948556635,15.1559998953377,12.22
94,9500,12.589897948556635,14.841153276523219,12.45
95,9600,12.589897948556635,14.91325199307057,12.22
96,9700,12.589897948556635,14.976344716979934,11.75
97,9800,12.589897948556635,15.36891953672557,10.6
98,9900,12.589897948556635,15.589553849612999,10.66
99,10000,12.589897948556635,15.282896500410939,10.54
100,10100,12.589897948556635,15.44498579701945,10.2
