generation,evaluations,mean_parent_fitness,variant,seed
46,4600,13.086479189497137,Tournament selection,43
47,4700,13.100328757453926,Tournament selection,43
48,4800,13.125009324131376,Tournament selection,43
49,4900,13.18038566136588,Tournament selection,43
50,5000,13.203313548185555,Tournament selection,43
51,5100,13.296919461305675,Tournament selection,43
52,5200,13.288814515398212,Tournament selection,43
53,5300,13.252216453197189,Tournament selection,43
54,5400,13.271605630694893,Tournament selection,43
55,5500,13.299417115059908,Tournament selection,43
56,5600,13.394953078285129,Tournament selection,43
57,5700,13.23200084558997,Tournament selection,43
58,5800,13.221292872933308,Tournament selection,43
59,5900,13.085775068880348,Tournament selection,43
60,6000,13.270190552946817,Tournament selection,43
61,6100,13.277085359839962,Tournament selection,43
62,6200,13.249295614734075,Tournament selection,43
63,6300,13.12451239131553,Tournament selection,43
64,6400,13.180291566811974,Tournament selection,43
65,6500,13.26350257059558,Tournament selection,43
66,6600,13.258569363888284,Tournament selection,43
67,6700,13.373222641776009,Tournament selection,43
68,6800,13.328705314542669,Tournament selection,43
69,6900,13.249921550515332,Tournament selection,43
70,7000,13.28942993402429,Tournament selection,43
71,7100,13.361747844158415,Tournament selection,43
72,7200,13.204526997217055,Tournament selection,43
73,7300,13.225265663270184,Tournament selection,43
74,7400,13.083873388034547,Tournament selection,43
75,7500,13.115009471452572,Tournament selection,43
76,7600,13.198466012039034,Tournament selection,43
77,7700,13.34227048568738,Tournament selection,43
78,7800,13.147681238691591,Tournament selection,43
79,7900,13.246895440080834,Tournament selection,43
80,8000,13.231515166298962,Tournament selection,43
81,8100,13.18927447704228,Tournament selection,43
82,8200,13.17483673953132,Tournament selection,43
83,8300,13.08984149583772,Tournament selection,43
84,8400,13.291822919227732,Tournament selection,43
85,8500,13.341722173787582,Tournament selection,43
86,8600,13.398296893281673,Tournament selection,43
87,8700,13.366927756754995,Tournament selection,43
88,8800,13.121949205815596,Tournament selection,43
89,8900,13.12530272156326,Tournament selection,43
90,9000,13.106519812989989,Tournament selection,43
91,9100,13.118173008307185,Tournament selection,43
92,9200,13.017706187482949,Tournament selection,43
93,9300,13.050231730044771,Tournament selection,43
94,9400,13.117581105123154,Tournament selection,43
95,9500,13.190029613191124,Tournament selection,43
96,9600,13.11470597363014,Tournament selection,43
97,9700,13.0182856940062,Tournament selection,43
98,9800,12.98200078389324,Tournament selection,43
99,9900,13.045048477953284,Tournament selection,43
100,10000,13.007939395923524,Tournament selection,43
1,100,19.581633437664937,Tournament selection,44
2,200,17.12480530658475,Tournament selection,44
3,300,15.845001408665883,Tournament selection,44
4,400,15.5758703637695,Tournament selection,44
5,500,15.3460981545874,Tournament selection,44
6,600,15.13038911863102,Tournament selection,44
7,700,14.973816055879135,Tournament selection,44
