generation,evaluations,best_fitness,mean_fitness,mean_modules,variant,seed
95,9599,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
96,9699,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
97,9799,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
98,9899,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
99,9999,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
100,10099,12.089897948556636,12.089897948556636,13.0,Tournament selection,42
1,200,16.06951674225463,18.98183234379969,19.71,Tournament selection,43
2,300,15.6,17.544018889178602,16.33,Tournament selection,43
3,400,15.6,16.57479060402334,11.06,Tournament selection,43
4,500,15.36397674405503,16.174861082872976,11.04,Tournament selection,43
5,600,14.7,15.816378654267128,13.09,Tournament selection,43
6,700,14.456465996625052,15.456709561489172,15.13,Tournament selection,43
7,800,14.127361849549567,15.102502456293143,15.83,Tournament selection,43
8,900,14.127361849549567,14.820663137290587,15.92,Tournament selection,43
9,1000,14.127361849549567,14.62653246042814,15.28,Tournament selection,43
10,1100,13.9,14.479755994181534,15.3,Tournament selection,43
11,1200,13.9,14.39153471994324,15.19,Tournament selection,43
12,1300,13.80384048104053,14.319241388302196,15.4,Tournament selection,43
13,1400,13.80384048104053,14.257889303379985,15.32,Tournament selection,43
14,1500,13.612403840463596,14.174895586089754,15.31,Tournament selection,43
15,1600,13.612403840463596,14.113589112339849,15.29,Tournament selection,43
16,1700,13.378232998312528,14.057649404778186,15.18,Tournament selection,43
17,1800,13.3,13.957500279868556,15.24,Tournament selection,43
18,1900,13.3,13.884889385139646,15.13,Tournament selection,43
19,2000,13.3,13.829306811321397,15.15,Tournament selection,43
20,2100,13.3,13.779573509407566,15.16,Tournament selection,43
21,2200,13.3,13.729965600123837,15.02,Tournament selection,43
22,2300,13.3,13.693031739215524,15.0,Tournament selection,43
23,2400,13.3,13.638809240223958,14.97,Tournament selection,43
24,2500,13.3,13.596955090598042,14.98,Tournament selection,43
25,2600,13.3,13.57410222761112,14.97,Tournament selection,43
26,2700,13.3,13.54147932914126,14.94,Tournament selection,43
27,2800,13.3,13.505743034764851,14.94,Tournament selection,43
28,2900,13.3,13.474648994366202,14.94,Tournament selection,43
29,3000,13.3,13.448659423050849,14.91,Tournament selection,43
30,3100,13.3,13.427344370109449,14.96,Tournament selection,43
31,3200,13.3,13.409632511451266,14.97,Tournament selection,43
32,3300,13.3,13.389951190194047,14.98,Tournament selection,43
33,3400,13.3,13.375336371643874,14.99,Tournament selection,43
34,3500,13.3,13.367661734776592,14.99,Tournament selection,43
35,3600,13.3,13.36266321405557,14.99,Tournament selection,43
36,3700,13.3,13.352577480304197,15.01,Tournament selection,43
37,3800,13.3,13.349472233189658,15.0,Tournament selection,43
38,3900,13.3,13.346461912784704,15.0,Tournament selection,43
39,4000,13.3,13.340772784960045,15.0,Tournament selection,43
40,4100,13.3,13.332460865071525,15.0,Tournament selection,43
41,4200,13.3,13.328803044243568,15.0,Tournament selection,43
42,4300,13.3,13.32537442583192,15.0,Tournament selection,43
43,4400,13.3,13.322865493955671,15.0,Tournament selection,43
44,4500,13.3,13.318953844040044,15.0,Tournament selection,43
45,4600,13.3,13.315824524107542,15.0,Tournament selection,43
46,4700,13.3,13.312726202590488,15.0,Tournament selection,43
47,4800,13.3,13.312305209214172,15.0,Tournament selection,43
48,4900,13.3,13.310838808152813,15.0,Tournament selection,43
49,5000,13.3,13.309408669165432,15.0,Tournament selection,43
50,5100,13.3,13.308363261480386,15.0,Tournament selection,43
51,5200,13.3,13.306969384566989,15.0,Tournament selection,43
52,5300,13.3,13.30592397688194,15.0,Tournament selection,43
53,5400,13.3,13.305227038425242,15.0,Tournament selection,43
54,5500,13.3,13.303484692283496,15.0,Tournament selection,43
55,5600,13.3,13.302090815370098,15.0,Tournament selection,43
56,5700,13.3,13.3,15.0,Tournament selection,43
57,5800,13.3,13.3,15.0,Tournament selection,43
58,5900,13.3,13.3,15.0,Tournament selection,43
59,6000,13.3,13.3,15.0,Tournament selection,43
60,6100,13.3,13.3,15.0,Tournament selection,43
61,6200,13.3,13.3,15.0,Tournament selection,43
62,6300,13.3,13.3,15.0,Tournament selection,43
63,6400,13.3,13.3,15.0,Tournament selection,43
64,6500,13.3,13.3,15.0,Tournament selection,43
65,6600,13.3,13.3,15.0,Tournament selection,43
66,6700,13.3,13.3,15.0,Tournament selection,43
67,6800,13.3,13.3,15.0,Tournament selection,43
68,6900,13.3,13.3,15.0,Tournament selection,43
69,7000,13.3,13.3,15.0,Tournament selection,43
70,7100,13.3,13.3,15.0,Tournament selection,43
71,7200,13.3,13.3,15.0,Tournament selection,43
72,7300,13.3,13.3,15.0,Tournament selection,43
73,7400,13.3,13.3,15.0,Tournament selection,43
74,7500,13.3,13.3,15.0,Tournament selection,43
75,7600,13.3,13.3,15.0,Tournament selection,43
76,7700,13.3,13.3,15.0,Tournament selection,43
77,7800,13.3,13.3,15.0,Tournament selection,43
78,7900,13.3,13.3,15.0,Tournament selection,43
79,8000,13.3,13.3,15.0,Tournament selection,43
80,8100,13.3,13.3,15.0,Tournament selection,43
81,8200,13.3,13.3,15.0,Tournament selection,43
82,8300,13.3,13.3,15.0,Tournament selection,43
83,8400,13.3,13.3,15.0,Tournament selection,43
84,8500,13.3,13.3,15.0,Tournament selection,43
85,8600,13.3,13.3,15.0,Tournament selection,43
86,8700,13.3,13.3,15.0,Tournament selection,43
87,8800,13.3,13.3,15.0,Tournament selection,43
88,8900,13.3,13.3,15.0,Tournament selection,43
89,9000,13.3,13.3,15.0,Tournament selection,43
90,9100,13.3,13.3,15.0,Tournament selection,43
91,9200,13.3,13.3,15.0,Tournament selection,43
92,9300,13.3,13.3,15.0,Tournament selection,43
93,9400,13.3,13.3,15.0,Tournament selection,43
94,9500,13.3,13.3,15.0,Tournament selection,43
95,9600,13.3,13.3,15.0,Tournament selection,43
96,9700,13.3,13.3,15.0,Tournament selection,43
97,9800,13.3,13.3,15.0,Tournament selection,43
98,9900,13.3,13.3,15.0,Tournament selection,43
99,10000,13.3,13.3,15.0,Tournament selection,43
100,10100,13.3,13.3,15.0,Tournament selection,43
1,200,15.858898943540671,18.845926708469136,19.57,Tournament selection,44
2,300,15.610960958218891,17.134786297545073,14.14,Tournament selection,44
3,400,15.206404996924922,16.282349970631422,10.55,Tournament selection,44
4,500,15.069870314579491,15.817667436645335,10.13,Tournament selection,44
5,600,14.41916017074176,15.519468522829008,10.67,Tournament selection,44
6,700,14.41916017074176,15.24977802696511,10.92,Tournament selection,44
7,800,13.811871208194288,15.02980060512624,11.38,Tournament selection,44
8,900,13.811871208194288,14.765510895349127,11.5,Tournament selection,44
9,1000,13.6431676725155,14.47009980795759,11.45,Tournament selection,44
10,1100,13.6431676725155,14.281919822481568,11.8,Tournament selection,44
11,1200,13.563818169698584,14.128539356135098,12.04,Tournament selection,44
12,1300,13.533907960581372,14.017783862853603,12.3,Tournament selection,44
13,1400,13.419090595827292,13.91408357290277,12.44,Tournament selection,44
14,1500,13.419090595827292,13.866983421648904,12.41,Tournament selection,44
